        objid        | extinction_u | extinction_g | extinction_r |        l         |         b         
---------------------+--------------+--------------+--------------+------------------+-------------------
 1237661056892208217 |     0.972102 |     0.715264 |     0.518769 | 150.057938150362 |  -12.086399008497
 1237661056892208218 |     0.971996 |     0.715186 |     0.518712 | 150.056592751785 |  -12.085765697268
 1237661056892208219 |     0.972411 |     0.715491 |     0.518933 | 150.057900814999 | -12.0854041339784
(3 rows)

