        ra        |          dec          | psfmag_u | psfmagerr_u | psfmag_g | psfmagerr_g | psfmag_r | psfmagerr_r | psfmag_i | psfmagerr_i | psfmag_z | psfmagerr_z 
 162.537863234526 |   0.00641333156696339 |  21.6453 |    0.147424 |  20.7332 |   0.0321707 |  20.5279 |   0.0334265 |  20.4834 |   0.0417103 |  20.4332 |     0.15011
 162.544867385226 |   -0.0915747424143711 |  24.5667 |    0.640724 |  24.5408 |     0.64327 |  22.9495 |    0.235559 |  21.9213 |    0.124193 |  22.1182 |    0.491399
 162.626533631626 |     0.015461119821341 |  25.7015 |    0.653227 |   23.028 |    0.157211 |  21.7785 |   0.0846608 |  21.3091 |   0.0778772 |  20.9329 |    0.231597
 162.581632326049 |  0.000410292676636443 |   25.061 |    0.956736 |  23.3717 |    0.210652 |  21.9883 |    0.101132 |   21.566 |   0.0962496 |  20.8939 |    0.224549
 162.639340461287 |    0.0470581257630789 |  24.0123 |    0.866876 |   24.587 |    0.462846 |   23.677 |    0.409416 |  22.1518 |      1.0494 |  23.3347 |    0.592951
 162.643091794308 |    0.0327549389824484 |  21.0085 |   0.0890717 |  20.0175 |   0.0269478 |  19.6481 |   0.0224963 |  19.5016 |    0.021971 |  19.4437 |   0.0657762
 162.544007817126 |   -0.0642494447857981 |   23.819 |      0.5042 |  25.2901 |    0.491627 |  23.9733 |    0.501976 |  22.0454 |    0.263487 |  22.8144 |     0.58735
 162.605458007453 |   -0.0523628501142872 |  24.2488 |    0.613956 |  23.2593 |    0.180964 |  21.6829 |   0.0787792 |   20.591 |   0.0451295 |  19.9242 |   0.0899848
 162.576046512521 |   -0.0562098356482139 |  23.6529 |    0.458372 |  22.3977 |   0.0884522 |  20.9738 |    0.046879 |  19.7145 |   0.0308452 |   19.123 |   0.0502882
 162.623654251536 |    0.0724418152798721 |  13.4963 |   0.0173783 |  12.1171 | 0.000295355 |  11.6928 | 0.000260902 |  16.1974 |   0.0236821 |  13.4951 |   0.0177362
 162.598641928438 |    0.0142294316919844 |  24.3321 |    0.984876 |  23.2351 |     1.01986 |  24.7529 |    0.641145 |  24.6182 |    0.582322 |   22.984 |    0.656196
 162.487976444728 |   -0.0391851402490031 |  22.7998 |    0.240245 |   22.855 |    0.128424 |  22.5076 |    0.161365 |  21.9044 |    0.121292 |  21.6154 |    0.346004
 162.562602913498 |    0.0748281626042769 |  25.4696 |    0.741786 |  23.2345 |    0.185701 |  21.5997 |    0.074153 |  19.8689 |   0.0292403 |  19.0827 |   0.0491187
  162.46006209043 |    -0.089455081140442 |  23.4607 |    0.400135 |  22.9398 |    0.139472 |  23.0115 |    0.244077 |  22.1783 |    0.153951 |  22.3285 |    0.524718
 162.626842068457 |    0.0832994548838678 |  23.8841 |      0.8031 |  23.6642 |    0.259413 |  22.1737 |    0.119668 |  22.0242 |    0.141448 |  22.1877 |    0.549442
